"Lon","Lat","Warmest_Month_SST","SE","Mask"
113.375,-23.9749984741211,26.0499992370605,0.510003043962979,1
113.375,-23.9249954223633,26.1299991607666,0.511820038876512,1
113.375,-23.875,26.2199993133545,0.514387116253885,1
113.424987792969,-23.9749984741211,26.0300006866455,0.508907225127156,1
113.424987792969,-23.9249954223633,26.1200008392334,0.511402522253729,1
113.424987792969,-23.875,26.2099990844727,0.513985381772073,1
113.424987792969,-23.8249969482422,26.2800006866455,0.516091344610453,1
113.424987792969,-23.7749938964844,26.3600006103516,0.518392694508257,1
113.475006103516,-23.875,26.2099990844727,0.514555487264856,1
113.475006103516,-23.8249969482422,26.2700004577637,0.516514126600751,1
113.475006103516,-23.7749938964844,26.3299999237061,0.518238703444334,1
113.475006103516,-23.7249984741211,26.3999996185303,0.520235676418087,1
113.475006103516,-23.6749954223633,26.4599990844727,0.522152889747444,1
113.475006103516,-23.625,26.5200004577637,0.524114637681246,1
113.524993896484,-23.875,26.2199993133545,0.514437687816774,1
113.524993896484,-23.8249969482422,26.2700004577637,0.516651262846116,1
113.524993896484,-23.7749938964844,26.3199996948242,0.518888335723282,1
113.524993896484,-23.7249984741211,26.3700008392334,0.520556995982813,1
113.524993896484,-23.6749954223633,26.4200000762939,0.521964695528757,1
113.524993896484,-23.625,26.4699993133545,0.523706899155019,1
113.524993896484,-23.5749969482422,26.5200004577637,0.524934041324421,1
113.524993896484,-22.7249984741211,27.4500007629395,0.54983173858296,1
113.524993896484,-22.6749954223633,27.5,0.551391281843316,1
113.524993896484,-22.625,27.5499992370605,0.552922583326236,1
113.524993896484,-22.5749969482422,27.6000003814697,0.554543833462266,1
113.575012207031,-23.7749938964844,26.3299999237061,0.519968306524854,1
113.575012207031,-23.7249984741211,26.3700008392334,0.521137356647995,1
113.575012207031,-23.6749954223633,26.3999996185303,0.522553260455604,1
113.575012207031,-23.625,26.4400005340576,0.523285558515624,1
113.575012207031,-23.5749969482422,26.4699993133545,0.523761640776956,1
113.575012207031,-23.5249938964844,26.5100002288818,0.525080610309665,1
113.575012207031,-22.7749938964844,27.3400001525879,0.546967337388492,1
113.575012207031,-22.7249984741211,27.3999996185303,0.549239783786116,1
113.575012207031,-22.6749954223633,27.4599990844727,0.551179613662949,1
113.575012207031,-22.625,27.5200004577637,0.553118062978189,1
113.575012207031,-22.5749969482422,27.5799999237061,0.554782075308225,1
113.575012207031,-22.5249938964844,27.6299991607666,0.556568167663817,1
113.575012207031,-22.4749984741211,27.6900005340576,0.558103518128687,1
113.625,-23.6749954223633,26.3999996185303,0.523365237620709,1
113.625,-23.625,26.4200000762939,0.523489391784071,1
113.625,-23.5749969482422,26.4400005340576,0.524010395294192,1
113.625,-23.5249938964844,26.4699993133545,0.524454159529323,1
113.625,-23.1749954223633,26.8299999237061,0.533901231133316,1
113.625,-23.125,26.8899993896484,0.536067902135809,1
113.625,-23.0749969482422,26.9500007629395,0.538269550611619,1
113.625,-22.875,27.1800003051758,0.544122076921033,1
113.625,-22.8249969482422,27.2299995422363,0.544676515389815,1
113.625,-22.7749938964844,27.2900009155273,0.546229906404998,1
113.625,-22.7249984741211,27.3500003814697,0.548468241308707,1
113.625,-22.6749954223633,27.4200000762939,0.550935591330155,1
